Account_ID,Month,Region,Product,Credit_Band,Assigned_Collector,Origination_Balance,Outstanding_Balance,DPD_Bucket,Days_Past_Due,Contact_Attempts,Promise_to_Pay,Amount_Recovered
ACC-10039,2026-03,Ontario,Credit Card,Prime,L. Fontaine,12000,9485.43,Current,0,0,No,0.0
ACC-10040,2025-09,Alberta,Auto Loan,Subprime,A. Chen,5000,4615.26,Current,0,1,No,0.0
ACC-10041,2026-01,Atlantic,Credit Card,Near-Prime,J. Tremblay,12000,8299.04,Current,0,0,No,0.0
ACC-10042,2026-06,Ontario,Line of Credit,Subprime,A. Chen,3000,1971.58,Current,0,0,No,0.0
ACC-10043,2026-06,Alberta,Auto Loan,Near-Prime,M. Singh,25000,9143.24,Current,0,0,No,0.0
ACC-10044,2026-01,British Columbia,Personal Loan,Prime,M. Singh,20000,13556.97,Current,0,2,No,0.0
ACC-10045,2026-08,Alberta,Credit Card,Prime,J. Tremblay,8000,4605.95,Current,0,1,No,0.0
ACC-10046,2026-04,Quebec,Personal Loan,Near-Prime,J. Tremblay,12000,8663.84,Current,0,1,No,0.0
ACC-10047,2026-01,Atlantic,Auto Loan,Near-Prime,A. Chen,3000,690.64,1-30 DPD,13,3,No,0.0
ACC-10048,2026-02,Quebec,Credit Card,Subprime,L. Fontaine,5000,4203.39,90+ DPD,147,3,No,0.0
ACC-10049,2026-01,Ontario,Credit Card,Prime,M. Singh,5000,2876.34,90+ DPD,153,4,No,0.0
ACC-10050,2025-10,Atlantic,Credit Card,Subprime,A. Chen,8000,3708.19,1-30 DPD,24,4,No,0.0
ACC-10051,2026-03,Alberta,Auto Loan,Prime,R. Osei,3000,2485.16,Current,0,2,No,0.0
ACC-10052,2026-05,British Columbia,Line of Credit,Prime,M. Singh,8000,7361.07,Current,0,0,No,0.0
ACC-10053,2026-06,Ontario,Credit Card,Prime,M. Singh,8000,4876.3,Current,0,1,No,0.0
ACC-10054,2026-03,Alberta,Line of Credit,Near-Prime,L. Fontaine,20000,15270.63,31-60 DPD,32,6,No,0.0
ACC-10055,2026-01,Quebec,Line of Credit,Subprime,L. Fontaine,12000,6533.78,31-60 DPD,47,4,Yes,0.0
ACC-10056,2026-04,Ontario,Personal Loan,Near-Prime,R. Osei,3000,1682.0,31-60 DPD,33,4,No,542.05
ACC-10057,2026-07,Quebec,Auto Loan,Near-Prime,L. Fontaine,8000,6556.93,Current,0,0,No,0.0
ACC-10058,2026-04,Ontario,Line of Credit,Subprime,K. Brar,3000,1726.84,1-30 DPD,15,5,No,678.96
ACC-10059,2025-11,Alberta,Credit Card,Near-Prime,J. Tremblay,3000,1104.49,Current,0,0,No,0.0
ACC-10060,2026-08,Ontario,Auto Loan,Prime,A. Chen,5000,2614.51,Current,0,0,No,0.0
ACC-10061,2025-10,Ontario,Credit Card,Near-Prime,M. Singh,3000,2043.74,Current,0,0,No,0.0
ACC-10062,2026-04,Ontario,Auto Loan,Near-Prime,J. Tremblay,12000,6176.72,Current,0,1,No,0.0
ACC-10063,2026-04,Ontario,Auto Loan,Prime,J. Tremblay,20000,7043.04,Current,0,0,No,0.0
ACC-10064,2025-12,Ontario,Line of Credit,Subprime,L. Fontaine,8000,7470.35,Current,0,0,No,0.0
ACC-10065,2025-11,British Columbia,Credit Card,Near-Prime,M. Singh,12000,5118.91,1-30 DPD,26,3,Yes,0.0
ACC-10066,2026-02,Quebec,Personal Loan,Near-Prime,J. Tremblay,5000,1936.85,Current,0,0,No,0.0
ACC-10067,2026-05,Atlantic,Auto Loan,Prime,M. Singh,3000,2061.5,Current,0,0,No,0.0
ACC-10068,2025-10,Ontario,Auto Loan,Near-Prime,A. Chen,20000,15501.28,Current,0,1,No,0.0
ACC-10069,2026-07,Ontario,Credit Card,Subprime,L. Fontaine,3000,2332.78,1-30 DPD,30,1,No,0.0
ACC-10070,2025-11,Ontario,Credit Card,Near-Prime,M. Singh,15000,9063.61,31-60 DPD,45,3,No,6163.2
ACC-10071,2025-09,Ontario,Credit Card,Subprime,M. Singh,3000,2695.15,90+ DPD,126,5,No,0.0
ACC-10072,2026-04,British Columbia,Personal Loan,Subprime,K. Brar,3000,914.83,31-60 DPD,38,5,Yes,495.82
ACC-10073,2026-04,Alberta,Credit Card,Prime,M. Singh,20000,13948.91,Current,0,0,No,0.0
ACC-10074,2026-01,Alberta,Line of Credit,Subprime,J. Tremblay,20000,9242.1,1-30 DPD,28,1,No,8209.82
ACC-10075,2026-05,Ontario,Personal Loan,Prime,M. Singh,15000,7536.58,Current,0,0,No,0.0
ACC-10076,2026-01,Quebec,Auto Loan,Subprime,K. Brar,5000,2880.88,1-30 DPD,20,4,Yes,1776.66
ACC-10077,2026-07,Ontario,Auto Loan,Prime,L. Fontaine,3000,925.53,Current,0,0,No,0.0
ACC-10078,2026-04,Ontario,Line of Credit,Subprime,A. Chen,12000,5737.47,31-60 DPD,43,4,No,0.0
ACC-10079,2026-08,Quebec,Personal Loan,Near-Prime,R. Osei,8000,4984.46,Current,0,1,No,0.0
ACC-10080,2025-10,Ontario,Personal Loan,Prime,R. Osei,8000,2532.01,Current,0,0,No,0.0
ACC-10081,2026-03,British Columbia,Credit Card,Prime,A. Chen,12000,3753.74,Current,0,0,No,0.0
ACC-10082,2025-11,Alberta,Personal Loan,Near-Prime,A. Chen,12000,9233.68,Current,0,1,No,0.0
ACC-10083,2025-10,Ontario,Credit Card,Prime,K. Brar,8000,2844.64,Current,0,0,No,0.0
ACC-10084,2025-09,Ontario,Personal Loan,Near-Prime,J. Tremblay,12000,9330.9,1-30 DPD,10,1,Yes,0.0
ACC-10085,2026-02,British Columbia,Auto Loan,Subprime,K. Brar,5000,2706.01,1-30 DPD,30,3,No,1837.77
ACC-10086,2025-10,Ontario,Personal Loan,Prime,R. Osei,8000,2495.63,Current,0,1,No,0.0
ACC-10087,2026-08,Quebec,Personal Loan,Near-Prime,A. Chen,8000,2457.18,Current,0,0,No,0.0
ACC-10088,2026-03,Alberta,Line of Credit,Near-Prime,M. Singh,12000,10137.23,Current,0,0,No,0.0
ACC-10089,2025-11,British Columbia,Auto Loan,Near-Prime,M. Singh,5000,4005.7,Current,0,0,No,0.0
ACC-10090,2025-11,Alberta,Auto Loan,Prime,J. Tremblay,15000,12836.71,1-30 DPD,24,2,Yes,9198.2
ACC-10091,2026-05,Quebec,Credit Card,Near-Prime,M. Singh,12000,9279.87,Current,0,0,No,0.0
ACC-10092,2026-08,British Columbia,Auto Loan,Subprime,R. Osei,15000,6790.23,1-30 DPD,12,2,Yes,0.0
ACC-10093,2026-03,Ontario,Auto Loan,Subprime,R. Osei,15000,5621.51,31-60 DPD,38,4,No,0.0
ACC-10094,2026-03,Ontario,Auto Loan,Prime,M. Singh,5000,4504.29,Current,0,2,No,0.0
ACC-10095,2026-04,Alberta,Credit Card,Near-Prime,M. Singh,8000,3026.95,Current,0,0,No,0.0
ACC-10096,2025-12,British Columbia,Auto Loan,Subprime,J. Tremblay,12000,6769.41,1-30 DPD,18,5,No,3850.27
ACC-10097,2026-01,Ontario,Personal Loan,Near-Prime,K. Brar,15000,10162.38,Current,0,0,No,0.0
ACC-10098,2025-11,Ontario,Personal Loan,Prime,J. Tremblay,15000,7395.78,Current,0,1,No,0.0
ACC-10099,2025-09,Quebec,Personal Loan,Near-Prime,K. Brar,25000,9522.11,Current,0,2,No,0.0
ACC-10100,2025-10,Quebec,Line of Credit,Subprime,L. Fontaine,12000,11331.12,Current,0,0,No,0.0
ACC-10101,2026-07,Atlantic,Credit Card,Prime,K. Brar,15000,6649.74,Current,0,0,No,0.0
ACC-10102,2026-05,British Columbia,Auto Loan,Prime,K. Brar,12000,4585.96,90+ DPD,151,7,No,4248.64
ACC-10103,2026-05,Quebec,Auto Loan,Subprime,R. Osei,3000,1976.01,1-30 DPD,15,1,Yes,1108.31
ACC-10104,2026-08,British Columbia,Auto Loan,Prime,L. Fontaine,25000,21332.11,Current,0,0,No,0.0
ACC-10105,2026-04,Quebec,Credit Card,Near-Prime,M. Singh,12000,5682.82,Current,0,1,No,0.0
ACC-10106,2026-05,British Columbia,Line of Credit,Prime,R. Osei,5000,3634.51,1-30 DPD,27,3,Yes,0.0
ACC-10107,2026-08,Ontario,Credit Card,Subprime,M. Singh,15000,7298.62,Current,0,0,No,0.0
ACC-10108,2025-11,Atlantic,Credit Card,Near-Prime,M. Singh,12000,5810.07,Current,0,0,No,0.0
ACC-10109,2026-02,Quebec,Credit Card,Subprime,J. Tremblay,12000,10357.3,31-60 DPD,48,3,No,3648.73
ACC-10110,2026-08,Atlantic,Credit Card,Prime,J. Tremblay,15000,4715.7,Current,0,0,No,0.0
ACC-10111,2025-10,Quebec,Credit Card,Prime,M. Singh,3000,2393.84,31-60 DPD,43,5,No,2172.74
ACC-10112,2026-05,Ontario,Credit Card,Near-Prime,K. Brar,12000,6033.23,Current,0,0,No,0.0
ACC-10113,2026-08,British Columbia,Credit Card,Near-Prime,R. Osei,3000,1819.49,Current,0,0,No,0.0
ACC-10114,2025-10,Ontario,Personal Loan,Subprime,K. Brar,15000,3341.52,31-60 DPD,42,4,No,2606.04
ACC-10115,2026-04,Ontario,Auto Loan,Prime,L. Fontaine,12000,11277.94,Current,0,0,No,0.0
ACC-10116,2026-07,Quebec,Credit Card,Near-Prime,M. Singh,8000,6683.78,61-90 DPD,66,4,Yes,0.0
ACC-10117,2026-08,Quebec,Personal Loan,Prime,A. Chen,12000,7767.09,Current,0,1,No,0.0
ACC-10118,2026-06,Alberta,Auto Loan,Prime,M. Singh,25000,10752.44,Current,0,0,No,0.0
ACC-10119,2026-05,Ontario,Credit Card,Near-Prime,R. Osei,20000,13036.85,Current,0,0,No,0.0
ACC-10120,2026-03,Alberta,Credit Card,Near-Prime,L. Fontaine,15000,11581.63,31-60 DPD,36,4,Yes,5477.79
ACC-10121,2026-03,Alberta,Personal Loan,Prime,L. Fontaine,5000,1641.9,Current,0,0,No,0.0
ACC-10122,2025-11,Ontario,Credit Card,Subprime,K. Brar,25000,14053.0,Current,0,0,No,0.0
ACC-10123,2026-06,Ontario,Personal Loan,Subprime,J. Tremblay,5000,3573.73,31-60 DPD,34,5,No,0.0
ACC-10124,2026-08,Quebec,Credit Card,Prime,M. Singh,25000,15069.46,Current,0,1,No,0.0
ACC-10125,2025-10,British Columbia,Auto Loan,Prime,L. Fontaine,5000,4276.75,Current,0,0,No,0.0
ACC-10126,2025-10,Ontario,Line of Credit,Near-Prime,L. Fontaine,8000,5791.04,Current,0,0,No,0.0
ACC-10127,2026-04,Ontario,Line of Credit,Subprime,K. Brar,5000,2270.34,Current,0,0,No,0.0
ACC-10128,2026-05,Alberta,Auto Loan,Near-Prime,M. Singh,8000,3693.31,Current,0,0,No,0.0
ACC-10129,2026-01,British Columbia,Personal Loan,Near-Prime,J. Tremblay,8000,6465.31,Current,0,0,No,0.0
ACC-10130,2025-10,Quebec,Line of Credit,Prime,L. Fontaine,5000,4278.12,1-30 DPD,5,0,No,2637.63
ACC-10131,2025-10,Ontario,Auto Loan,Near-Prime,L. Fontaine,12000,5114.3,1-30 DPD,2,4,Yes,1984.44
ACC-10132,2025-09,Ontario,Line of Credit,Subprime,J. Tremblay,12000,9692.39,1-30 DPD,6,5,No,0.0
ACC-10133,2025-11,Quebec,Personal Loan,Near-Prime,A. Chen,12000,7870.36,61-90 DPD,76,4,No,0.0
ACC-10134,2025-10,Alberta,Credit Card,Prime,K. Brar,5000,2562.86,Current,0,0,No,0.0
ACC-10135,2025-09,Alberta,Credit Card,Subprime,A. Chen,5000,3269.59,Current,0,0,No,0.0
ACC-10136,2025-09,Ontario,Auto Loan,Near-Prime,K. Brar,8000,4340.91,Current,0,0,No,0.0
ACC-10137,2026-05,Ontario,Credit Card,Subprime,L. Fontaine,12000,9516.21,61-90 DPD,76,4,No,0.0
ACC-10138,2026-07,Quebec,Auto Loan,Near-Prime,L. Fontaine,15000,6408.84,Current,0,0,No,0.0
ACC-10139,2025-12,British Columbia,Line of Credit,Near-Prime,A. Chen,12000,3797.19,1-30 DPD,2,6,Yes,0.0
ACC-10140,2026-06,Atlantic,Credit Card,Near-Prime,L. Fontaine,5000,3776.93,1-30 DPD,24,3,Yes,0.0
ACC-10141,2026-02,Quebec,Personal Loan,Subprime,K. Brar,12000,7532.24,61-90 DPD,75,5,No,0.0
ACC-10142,2026-06,Alberta,Auto Loan,Subprime,M. Singh,15000,10219.43,Current,0,0,No,0.0
ACC-10143,2025-11,British Columbia,Line of Credit,Prime,K. Brar,3000,1966.06,Current,0,0,No,0.0
ACC-10144,2026-03,Ontario,Credit Card,Prime,L. Fontaine,3000,1688.42,Current,0,0,No,0.0
ACC-10145,2026-02,British Columbia,Credit Card,Near-Prime,J. Tremblay,15000,7173.07,Current,0,0,No,0.0
ACC-10146,2026-02,Ontario,Line of Credit,Near-Prime,R. Osei,8000,2761.0,Current,0,0,No,0.0
ACC-10147,2026-04,Ontario,Credit Card,Prime,R. Osei,12000,7757.07,Current,0,0,No,0.0
ACC-10148,2025-10,Ontario,Credit Card,Near-Prime,J. Tremblay,12000,6201.84,Current,0,0,No,0.0
ACC-10149,2026-06,Ontario,Line of Credit,Prime,K. Brar,12000,7112.89,Current,0,1,No,0.0
ACC-10150,2026-04,British Columbia,Credit Card,Near-Prime,L. Fontaine,5000,3895.84,Current,0,1,No,0.0
ACC-10151,2025-09,British Columbia,Personal Loan,Subprime,L. Fontaine,3000,2088.36,31-60 DPD,50,0,No,1011.14
ACC-10152,2026-03,Ontario,Line of Credit,Subprime,A. Chen,8000,6748.6,61-90 DPD,66,6,No,0.0
ACC-10153,2026-05,Alberta,Line of Credit,Prime,L. Fontaine,3000,944.64,Current,0,0,No,0.0
ACC-10154,2026-05,Ontario,Line of Credit,Subprime,M. Singh,12000,3569.26,1-30 DPD,14,6,Yes,2335.28
ACC-10155,2025-10,Ontario,Credit Card,Near-Prime,J. Tremblay,5000,4267.21,Current,0,0,No,0.0
ACC-10156,2025-10,Ontario,Credit Card,Near-Prime,R. Osei,8000,2702.45,Current,0,1,No,0.0
ACC-10157,2026-08,British Columbia,Line of Credit,Prime,R. Osei,5000,1828.4,Current,0,0,No,0.0
ACC-10158,2025-12,Ontario,Auto Loan,Prime,A. Chen,5000,4256.05,Current,0,0,No,0.0
ACC-10159,2026-02,Alberta,Auto Loan,Near-Prime,K. Brar,8000,6997.4,61-90 DPD,82,2,No,0.0
ACC-10160,2025-10,Quebec,Credit Card,Prime,K. Brar,5000,2146.28,Current,0,0,No,0.0
ACC-10161,2025-12,Ontario,Auto Loan,Near-Prime,A. Chen,8000,3176.04,Current,0,0,No,0.0
ACC-10162,2025-12,Alberta,Personal Loan,Near-Prime,M. Singh,8000,6595.67,1-30 DPD,10,5,Yes,0.0
ACC-10163,2026-02,Alberta,Auto Loan,Near-Prime,R. Osei,8000,5592.45,Current,0,0,No,0.0
ACC-10164,2026-04,Quebec,Personal Loan,Near-Prime,J. Tremblay,8000,6124.88,Current,0,0,No,0.0
ACC-10165,2025-12,Ontario,Personal Loan,Near-Prime,K. Brar,8000,6428.2,Current,0,0,No,0.0
ACC-10166,2026-04,Ontario,Personal Loan,Subprime,K. Brar,8000,2508.91,Current,0,0,No,0.0
ACC-10167,2025-11,Atlantic,Personal Loan,Near-Prime,A. Chen,25000,17493.96,Current,0,1,No,0.0
ACC-10168,2026-07,Quebec,Personal Loan,Prime,M. Singh,5000,4221.04,31-60 DPD,51,3,Yes,3034.81
ACC-10169,2025-12,Ontario,Auto Loan,Subprime,M. Singh,12000,5140.27,Current,0,1,No,0.0
ACC-10170,2026-01,Ontario,Credit Card,Near-Prime,A. Chen,5000,3618.67,31-60 DPD,38,2,Yes,2993.48
ACC-10171,2026-07,Quebec,Credit Card,Near-Prime,M. Singh,3000,2365.48,31-60 DPD,53,4,No,0.0
ACC-10172,2026-04,Alberta,Credit Card,Near-Prime,K. Brar,5000,3861.0,Current,0,1,No,0.0
ACC-10173,2026-03,Ontario,Credit Card,Near-Prime,R. Osei,5000,3743.27,31-60 DPD,46,1,Yes,0.0
ACC-10174,2025-11,British Columbia,Personal Loan,Near-Prime,M. Singh,15000,13461.51,31-60 DPD,49,5,No,0.0
ACC-10175,2025-09,Ontario,Credit Card,Near-Prime,J. Tremblay,5000,3063.16,Current,0,0,No,0.0
ACC-10176,2025-10,Ontario,Auto Loan,Near-Prime,J. Tremblay,12000,8296.74,Current,0,0,No,0.0
ACC-10177,2026-06,Ontario,Credit Card,Prime,R. Osei,3000,2437.8,Current,0,0,No,0.0
ACC-10178,2025-12,Quebec,Personal Loan,Prime,A. Chen,8000,6567.11,Current,0,1,No,0.0
ACC-10179,2026-07,Ontario,Personal Loan,Subprime,L. Fontaine,12000,8615.89,90+ DPD,165,5,No,0.0
ACC-10180,2026-06,Quebec,Credit Card,Subprime,R. Osei,5000,3946.77,1-30 DPD,5,3,No,1406.71
ACC-10181,2026-08,Quebec,Auto Loan,Prime,A. Chen,3000,1677.73,Current,0,1,No,0.0
ACC-10182,2025-11,Ontario,Personal Loan,Prime,M. Singh,5000,4058.16,Current,0,1,No,0.0
ACC-10183,2026-04,Quebec,Credit Card,Near-Prime,L. Fontaine,3000,2108.41,Current,0,0,No,0.0
ACC-10184,2025-10,Ontario,Auto Loan,Subprime,R. Osei,5000,2960.59,31-60 DPD,54,1,Yes,0.0
ACC-10185,2026-01,British Columbia,Line of Credit,Near-Prime,M. Singh,3000,1804.67,Current,0,1,No,0.0
ACC-10186,2026-05,Ontario,Personal Loan,Near-Prime,M. Singh,15000,13295.43,31-60 DPD,47,3,No,0.0
ACC-10187,2026-05,Ontario,Credit Card,Subprime,M. Singh,5000,2610.57,31-60 DPD,46,3,No,0.0
ACC-10188,2025-12,Alberta,Auto Loan,Prime,K. Brar,5000,2165.86,Current,0,2,No,0.0
ACC-10189,2025-10,Ontario,Auto Loan,Near-Prime,M. Singh,15000,9023.33,Current,0,1,No,0.0
ACC-10190,2026-07,Quebec,Personal Loan,Near-Prime,J. Tremblay,8000,4530.65,90+ DPD,102,6,No,0.0
ACC-10191,2025-11,Ontario,Credit Card,Near-Prime,J. Tremblay,5000,1492.49,1-30 DPD,6,1,No,0.0
ACC-10192,2026-05,Ontario,Auto Loan,Subprime,L. Fontaine,25000,22297.28,31-60 DPD,46,2,No,22251.68
ACC-10193,2026-05,British Columbia,Personal Loan,Near-Prime,K. Brar,12000,8544.57,1-30 DPD,30,5,No,7477.75
ACC-10194,2026-01,Ontario,Auto Loan,Near-Prime,R. Osei,20000,7133.33,Current,0,0,No,0.0
ACC-10195,2026-05,Quebec,Line of Credit,Near-Prime,R. Osei,8000,5401.7,Current,0,0,No,0.0
ACC-10196,2025-10,Alberta,Credit Card,Prime,R. Osei,12000,8953.35,Current,0,0,No,0.0
ACC-10197,2025-11,Ontario,Line of Credit,Prime,J. Tremblay,25000,15830.64,Current,0,0,No,0.0
ACC-10198,2025-12,Ontario,Personal Loan,Subprime,K. Brar,8000,1930.93,61-90 DPD,63,4,No,1106.1
ACC-10199,2026-07,Ontario,Auto Loan,Subprime,L. Fontaine,8000,2618.53,Current,0,0,No,0.0
ACC-10200,2026-06,Alberta,Personal Loan,Subprime,A. Chen,5000,4369.84,61-90 DPD,73,5,No,3463.45
ACC-10201,2026-07,Ontario,Personal Loan,Prime,A. Chen,8000,3577.03,Current,0,0,No,0.0
ACC-10202,2026-02,Quebec,Personal Loan,Near-Prime,J. Tremblay,20000,11438.43,1-30 DPD,23,3,No,0.0
ACC-10203,2026-05,British Columbia,Personal Loan,Prime,K. Brar,12000,2943.37,31-60 DPD,47,1,Yes,0.0
ACC-10204,2026-02,Alberta,Auto Loan,Prime,A. Chen,5000,3551.75,Current,0,0,No,0.0
ACC-10205,2025-11,British Columbia,Personal Loan,Near-Prime,J. Tremblay,3000,2753.54,Current,0,0,No,0.0
ACC-10206,2025-09,British Columbia,Auto Loan,Prime,L. Fontaine,3000,2077.94,Current,0,1,No,0.0
ACC-10207,2025-11,Quebec,Auto Loan,Prime,K. Brar,8000,4866.3,Current,0,0,No,0.0
ACC-10208,2026-08,Quebec,Line of Credit,Prime,A. Chen,5000,3004.27,Current,0,0,No,0.0
ACC-10209,2026-01,Ontario,Auto Loan,Near-Prime,L. Fontaine,20000,16636.69,Current,0,0,No,0.0
ACC-10210,2026-07,Alberta,Auto Loan,Prime,K. Brar,12000,5742.91,Current,0,0,No,0.0
ACC-10211,2025-09,Quebec,Auto Loan,Near-Prime,K. Brar,15000,3016.43,90+ DPD,159,2,Yes,0.0
ACC-10212,2025-12,Quebec,Credit Card,Subprime,M. Singh,12000,7016.5,1-30 DPD,28,4,No,0.0
ACC-10213,2026-05,Alberta,Credit Card,Subprime,L. Fontaine,12000,4940.42,Current,0,0,No,0.0
ACC-10214,2025-09,British Columbia,Auto Loan,Prime,R. Osei,8000,5168.96,Current,0,0,No,0.0
ACC-10215,2026-05,Ontario,Auto Loan,Near-Prime,K. Brar,3000,2171.97,Current,0,1,No,0.0
ACC-10216,2026-08,Quebec,Credit Card,Subprime,A. Chen,5000,2748.78,Current,0,0,No,0.0
ACC-10217,2026-05,Quebec,Credit Card,Near-Prime,R. Osei,12000,6665.2,Current,0,0,No,0.0
ACC-10218,2025-12,Quebec,Personal Loan,Subprime,J. Tremblay,3000,1908.62,Current,0,0,No,0.0
ACC-10219,2026-02,Ontario,Auto Loan,Prime,R. Osei,8000,5161.64,Current,0,1,No,0.0
ACC-10220,2026-04,Quebec,Personal Loan,Near-Prime,A. Chen,3000,1406.83,31-60 DPD,43,0,Yes,804.13
ACC-10221,2026-01,Ontario,Credit Card,Subprime,K. Brar,5000,2554.45,1-30 DPD,23,2,Yes,0.0
ACC-10222,2025-09,Ontario,Line of Credit,Prime,L. Fontaine,8000,3275.35,Current,0,0,No,0.0
ACC-10223,2025-09,Alberta,Auto Loan,Prime,M. Singh,5000,3701.51,Current,0,0,No,0.0
ACC-10224,2025-11,Alberta,Auto Loan,Prime,A. Chen,12000,9970.7,Current,0,0,No,0.0
ACC-10225,2026-06,Alberta,Credit Card,Near-Prime,M. Singh,12000,9300.38,Current,0,0,No,0.0
ACC-10226,2026-01,Alberta,Credit Card,Subprime,L. Fontaine,5000,4044.89,1-30 DPD,15,2,Yes,0.0
ACC-10227,2026-08,Alberta,Line of Credit,Near-Prime,A. Chen,20000,17226.12,Current,0,0,No,0.0
ACC-10228,2026-07,Ontario,Personal Loan,Near-Prime,A. Chen,12000,7440.14,Current,0,0,No,0.0
ACC-10229,2025-12,Alberta,Line of Credit,Near-Prime,M. Singh,8000,1933.04,31-60 DPD,39,0,Yes,0.0
ACC-10230,2026-03,Ontario,Auto Loan,Near-Prime,R. Osei,8000,4879.59,Current,0,0,No,0.0
ACC-10231,2026-08,British Columbia,Credit Card,Near-Prime,M. Singh,12000,6840.06,1-30 DPD,24,4,Yes,2263.47
ACC-10232,2026-05,British Columbia,Personal Loan,Subprime,K. Brar,15000,4096.24,61-90 DPD,62,5,No,0.0
